organic_formula,organic_concentration,organic_temperature,organic_soak_time,organic_ph,organic_curing_time,Adhesion,Coverage,Uniformity,Timestamp
2.0,4.5,40.0,180.0,4.5,20.0,0.4969654,0.18906212,0.5188646,2026-01-24-10:44:03
23.0,4.5,40.0,280.0,9.5,45.0,0.5406537,0.5054261,0.55324244,2026-01-24-10:44:07
23.0,3.2,40.0,280.0,10.0,45.0,0.60146844,0.48125574,0.4491997,2026-01-24-10:44:07
23.0,0.7,40.0,280.0,9.5,45.0,0.441555,0.44853443,0.24015516,2026-01-24-10:44:07
23.0,3.5,40.0,280.0,8.0,45.0,0.6205795,0.4226637,0.47830036,2026-01-24-10:44:07
23.0,4.5,40.0,80.0,8.0,20.0,0.5262589,0.10809472,0.6019778,2026-01-24-10:44:07
23.0,3.5,40.0,280.0,10.0,20.0,0.59132415,0.36120003,0.5095772,2026-01-24-10:44:10
23.0,3.3,40.0,280.0,10.0,20.0,0.5988831,0.3555294,0.49197367,2026-01-24-10:44:10
23.0,2.1,40.0,280.0,8.0,45.0,0.59640056,0.39645866,0.349303,2026-01-24-10:44:10
23.0,2.4,40.0,280.0,8.5,20.0,0.6120092,0.3244163,0.4114575,2026-01-24-10:44:10
23.0,4.7,40.0,280.0,9.0,20.0,0.5391041,0.39118436,0.6000528,2026-01-24-10:44:10
23.0,4.7,40.0,100.0,9.5,20.0,0.49983975,0.14374958,0.620864,2026-01-24-10:44:14
23.0,2.6,40.0,280.0,8.0,45.0,0.6263672,0.40200418,0.3958644,2026-01-24-10:44:14
1.0,4.7,40.0,230.0,5.0,20.0,0.503269,0.21455126,0.5309821,2026-01-24-10:44:14
23.0,3.0,40.0,280.0,8.0,45.0,0.63319093,0.40958637,0.4333321,2026-01-24-10:44:14
23.0,2.5,40.0,280.0,8.0,45.0,0.6221756,0.40054256,0.3864579,2026-01-24-10:44:14
23.0,4.7,40.0,130.0,9.0,20.0,0.51324207,0.18546288,0.629011,2026-01-24-10:44:18
23.0,4.8,40.0,280.0,8.0,45.0,0.5471146,0.46833277,0.5714714,2026-01-24-10:44:18
23.0,0.2,40.0,280.0,8.5,45.0,0.42751998,0.417732,0.2164912,2026-01-24-10:44:18
23.0,0.6,40.0,280.0,9.5,45.0,0.43415454,0.4493273,0.2344734,2026-01-24-10:44:18
7.0,0.6,40.0,280.0,8.5,45.0,0.20745642,0.26300588,0.39011064,2026-01-24-10:44:18
7.0,4.8,40.0,260.0,9.5,20.0,0.37448367,0.21585858,0.45843148,2026-01-24-10:44:22
23.0,2.4,40.0,280.0,8.0,45.0,0.6170324,0.39925772,0.37707752,2026-01-24-10:44:22
24.0,4.8,40.0,260.0,5.5,20.0,0.5349086,0.40977675,0.5954787,2026-01-24-10:44:22
2.0,4.8,40.0,130.0,5.0,20.0,0.4758172,0.18286745,0.52486956,2026-01-24-10:44:22
23.0,4.8,40.0,280.0,9.5,45.0,0.52702665,0.51664853,0.57080156,2026-01-24-10:44:22
24.0,4.7,40.0,260.0,5.5,20.0,0.53846985,0.40605676,0.5910257,2026-01-24-10:44:26
23.0,3.9,40.0,280.0,8.0,20.0,0.59836817,0.36202735,0.54511726,2026-01-24-10:44:26
24.0,4.2,40.0,260.0,5.5,20.0,0.56504726,0.38798603,0.5643453,2026-01-24-10:44:26
23.0,3.8,40.0,280.0,8.0,20.0,0.60455316,0.35866588,0.53716123,2026-01-24-10:44:26
23.0,1.4,40.0,280.0,10.0,45.0,0.49912313,0.46249565,0.2867616,2026-01-24-10:44:26
23.0,1.1,40.0,280.0,10.0,20.0,0.46821094,0.3357205,0.2980362,2026-01-24-10:44:30
23.0,4.7,40.0,260.0,8.0,20.0,0.54751396,0.37074372,0.60703427,2026-01-24-10:44:30
23.0,0.8,40.0,280.0,9.0,20.0,0.45788255,0.32600474,0.28098086,2026-01-24-10:44:30
24.0,3.9,40.0,260.0,5.5,20.0,0.58372986,0.37799847,0.5448904,2026-01-24-10:44:30
23.0,1.9,40.0,280.0,9.0,20.0,0.5671597,0.32203743,0.3654434,2026-01-24-10:44:30
23.0,3.0,40.0,280.0,9.0,10.0,0.6213328,0.3234706,0.48309112,2026-01-24-10:44:35
23.0,4.7,40.0,180.0,9.5,20.0,0.5136329,0.26837888,0.62831324,2026-01-24-10:44:35
23.0,0.3,40.0,280.0,8.0,20.0,0.43672678,0.32958424,0.25392237,2026-01-24-10:44:35
23.0,1.2,40.0,280.0,9.5,45.0,0.48746508,0.4448805,0.27331862,2026-01-24-10:44:35
24.0,4.1,40.0,260.0,5.5,20.0,0.5712943,0.38456276,0.55813813,2026-01-24-10:44:35
23.0,3.0,40.0,280.0,8.0,50.0,0.63319093,0.43634203,0.42884153,2026-01-24-10:44:40
23.0,4.7,40.0,180.0,9.5,10.0,0.5136329,0.25068897,0.6348048,2026-01-24-10:44:40
23.0,2.8,40.0,280.0,8.0,45.0,0.6317831,0.40545326,0.41467133,2026-01-24-10:44:40
24.0,3.8,40.0,260.0,5.5,20.0,0.58967286,0.3748783,0.5378651,2026-01-24-10:44:40
23.0,4.8,25.0,280.0,9.5,45.0,0.53233856,0.51664853,0.31889254,2026-01-24-10:44:40
23.0,4.8,40.0,280.0,9.5,50.0,0.52702665,0.5479145,0.566311,2026-01-24-10:44:46
23.0,3.0,40.0,280.0,8.5,15.0,0.62816775,0.32946387,0.47555658,2026-01-24-10:44:46
23.0,4.7,40.0,180.0,10.0,10.0,0.5044656,0.25153202,0.6329895,2026-01-24-10:44:46
23.0,4.7,40.0,280.0,8.0,50.0,0.55096227,0.49135134,0.5614189,2026-01-24-10:44:46
23.0,3.2,40.0,280.0,8.5,50.0,0.6257006,0.4575656,0.4478123,2026-01-24-10:44:46
23.0,4.7,40.0,180.0,8.0,10.0,0.53372085,0.26317835,0.6354746,2026-01-24-10:44:52
23.0,3.2,40.0,280.0,8.0,50.0,0.6307238,0.4411263,0.44719413,2026-01-24-10:44:52
23.0,4.0,40.0,280.0,8.0,50.0,0.5919525,0.46567702,0.51459265,2026-01-24-10:44:52
23.0,4.8,25.0,280.0,9.5,50.0,0.53233856,0.5479145,0.31440198,2026-01-24-10:44:52
23.0,4.7,40.0,260.0,8.5,10.0,0.54249084,0.3626692,0.6227027,2026-01-24-10:44:52
23.0,0.4,40.0,280.0,8.5,50.0,0.43672538,0.4456461,0.2209321,2026-01-24-10:44:58
23.0,0.5,40.0,280.0,8.0,50.0,0.44759652,0.4285222,0.22531013,2026-01-24-10:44:58
23.0,0.9,40.0,280.0,8.0,50.0,0.47846583,0.42538413,0.24868095,2026-01-24-10:44:58
23.0,4.7,40.0,180.0,9.5,10.0,0.5136329,0.25068897,0.6348048,2026-01-24-10:44:58
15.0,4.7,40.0,180.0,6.0,10.0,0.3633045,0.19409256,0.5211155,2026-01-24-10:44:58
23.0,3.0,25.0,280.0,9.5,50.0,0.36462185,0.48916808,0.1836097,2026-01-24-10:45:06
23.0,1.6,40.0,280.0,9.0,50.0,0.5374718,0.45613813,0.30135828,2026-01-24-10:45:06
25.0,3.0,40.0,280.0,5.5,50.0,0.61297053,0.3866795,0.44147044,2026-01-24-10:45:06
23.0,3.4,40.0,280.0,9.5,50.0,0.604644,0.49934167,0.4644144,2026-01-24-10:45:06
23.0,4.7,40.0,180.0,9.0,10.0,0.52186275,0.2526076,0.6358561,2026-01-24-10:45:06
23.0,3.0,40.0,280.0,8.0,25.0,0.63319093,0.342378,0.4593693,2026-01-24-10:45:12
23.0,4.7,40.0,180.0,10.0,10.0,0.5044656,0.25153202,0.6329895,2026-01-24-10:45:12
24.0,4.8,25.0,280.0,5.0,50.0,0.5371171,0.44813505,0.34670365,2026-01-24-10:45:12
23.0,3.0,40.0,280.0,9.5,30.0,0.613103,0.37691215,0.45128495,2026-01-24-10:45:12
25.0,4.8,25.0,280.0,5.0,50.0,0.5388564,0.44515565,0.3424082,2026-01-24-10:45:12
9.0,4.8,25.0,280.0,3.5,50.0,0.36599946,0.33340102,0.19305931,2026-01-24-10:45:18
9.0,3.0,40.0,280.0,5.5,50.0,0.4360269,0.26080748,0.35056588,2026-01-24-10:45:18
22.0,4.8,25.0,280.0,6.0,50.0,0.54241043,0.4523847,0.33808634,2026-01-24-10:45:18
28.0,4.8,25.0,280.0,6.5,50.0,0.48929894,0.43729776,0.3004953,2026-01-24-10:45:18
28.0,3.0,40.0,280.0,6.5,50.0,0.5463831,0.37855136,0.47390702,2026-01-24-10:45:18
23.0,4.7,40.0,180.0,8.5,10.0,0.5286977,0.25692952,0.63609266,2026-01-24-10:45:24
25.0,3.2,40.0,280.0,5.0,50.0,0.60902655,0.3911935,0.45129886,2026-01-24-10:45:24
24.0,3.0,40.0,260.0,5.5,20.0,0.6166842,0.3549501,0.4735015,2026-01-24-10:45:24
28.0,4.7,40.0,180.0,8.0,10.0,0.4474146,0.29810348,0.60308796,2026-01-24-10:45:24
25.0,3.8,40.0,280.0,5.0,20.0,0.5855315,0.39666742,0.5311315,2026-01-24-10:45:24
22.0,3.0,40.0,280.0,5.5,50.0,0.6145388,0.39038995,0.39549062,2026-01-24-10:45:31
16.0,3.2,40.0,280.0,9.0,50.0,0.6428336,0.4349016,0.34205702,2026-01-24-10:45:31
4.0,3.2,40.0,280.0,5.5,50.0,0.5446274,0.22058702,0.4330133,2026-01-24-10:45:31
14.0,3.0,40.0,280.0,4.0,50.0,0.3926776,0.33336747,0.2852431,2026-01-24-10:45:31
3.0,3.0,40.0,280.0,5.5,50.0,0.5604048,0.21159261,0.44548333,2026-01-24-10:45:31
16.0,3.0,40.0,280.0,7.5,35.0,0.5806428,0.32156575,0.34286702,2026-01-24-10:45:37
16.0,2.8,40.0,280.0,8.5,50.0,0.6251216,0.40816423,0.3166429,2026-01-24-10:45:37
28.0,4.2,40.0,180.0,6.0,10.0,0.49791586,0.31644687,0.5851122,2026-01-24-10:45:37
23.0,4.7,40.0,180.0,10.0,10.0,0.5044656,0.25153202,0.6329895,2026-01-24-10:45:37
16.0,3.2,40.0,280.0,9.0,40.0,0.6428336,0.37637216,0.3519893,2026-01-24-10:45:37
16.0,3.2,40.0,280.0,8.5,50.0,0.62276185,0.4170816,0.34229365,2026-01-24-10:45:44
23.0,4.7,40.0,180.0,9.5,10.0,0.5136329,0.25068897,0.6348048,2026-01-24-10:45:44
23.0,4.8,40.0,280.0,10.0,50.0,0.5178593,0.56655943,0.5644958,2026-01-24-10:45:44
16.0,3.2,40.0,280.0,9.5,55.0,0.6606628,0.48536816,0.33757696,2026-01-24-10:45:44
25.0,4.7,40.0,180.0,5.5,10.0,0.52179736,0.32054922,0.616253,2026-01-24-10:45:44
16.0,3.2,40.0,280.0,7.5,55.0,0.57734907,0.41379544,0.3367448,2026-01-24-10:45:51
23.0,4.7,40.0,180.0,9.0,10.0,0.52186275,0.2526076,0.6358561,2026-01-24-10:45:51
23.0,3.2,40.0,280.0,9.0,55.0,0.61886567,0.5073005,0.44414684,2026-01-24-10:45:51
3.0,4.7,40.0,180.0,5.5,10.0,0.47340474,0.17576887,0.52061987,2026-01-24-10:45:51
23.0,4.8,40.0,280.0,9.5,55.0,0.52702665,0.5798143,0.5628822,2026-01-24-10:45:51
16.0,3.0,40.0,280.0,8.5,55.0,0.62605566,0.4434775,0.32536712,2026-01-24-10:45:59
23.0,4.8,40.0,280.0,10.0,55.0,0.5178593,0.59769505,0.561067,2026-01-24-10:45:59
16.0,3.3,40.0,280.0,8.0,55.0,0.5976696,0.4329973,0.34547722,2026-01-24-10:45:59
23.0,3.8,40.0,280.0,9.5,55.0,0.58446515,0.54359084,0.49481025,2026-01-24-10:45:59
23.0,4.8,35.0,280.0,10.0,55.0,0.56338745,0.59769505,0.48850527,2026-01-24-10:45:59
23.0,4.7,40.0,180.0,9.5,10.0,0.5136329,0.25068897,0.6348048,2026-01-24-10:46:06
23.0,4.7,40.0,280.0,10.0,55.0,0.52170694,0.59395784,0.55550504,2026-01-24-10:46:06
23.0,4.7,40.0,160.0,8.5,10.0,0.5252495,0.2261426,0.6343936,2026-01-24-10:46:06
23.0,4.7,35.0,280.0,10.0,55.0,0.5685707,0.59395784,0.4830794,2026-01-24-10:46:06
30.0,3.2,40.0,280.0,8.5,55.0,0.50373536,0.449913,0.4812409,2026-01-24-10:46:06
16.0,3.2,40.0,280.0,9.5,20.0,0.6606628,0.3049215,0.3792582,2026-01-24-10:46:14
23.0,4.7,40.0,180.0,8.0,10.0,0.53372085,0.26317835,0.6354746,2026-01-24-10:46:14
25.0,4.2,40.0,180.0,5.5,10.0,0.54695326,0.30682656,0.59509254,2026-01-24-10:46:14
24.0,4.0,40.0,260.0,5.5,10.0,0.5775632,0.38380805,0.5667012,2026-01-24-10:46:14
24.0,3.2,40.0,280.0,6.0,20.0,0.62171483,0.36528692,0.48849526,2026-01-24-10:46:14
