organic_formula,organic_concentration,organic_temperature,organic_soak_time,organic_ph,organic_curing_time,Adhesion,Coverage,Uniformity,Timestamp
30.0,0.6,35.0,130.0,7.5,15.0,0.39058644,0.2571847,0.2104844,2026-01-25-18:14:39
10.0,3.4,30.0,210.0,6.0,40.0,0.30099696,0.31973398,0.29394794,2026-01-25-18:14:39
4.0,1.8,35.0,70.0,5.5,55.0,0.21352099,0.2258941,0.23678982,2026-01-25-18:14:39
21.0,4.5,25.0,280.0,5.0,35.0,0.36475018,0.3782266,0.28978887,2026-01-25-18:14:39
18.0,2.5,30.0,230.0,2.5,20.0,0.27915317,0.2569926,0.23466927,2026-01-25-18:14:39
6.0,4.1,40.0,40.0,9.0,45.0,0.35446164,0.21853203,0.42664325,2026-01-25-18:14:39
15.0,1.1,25.0,180.0,7.5,55.0,0.25574595,0.3705985,0.1412843,2026-01-25-18:14:39
24.0,2.6,35.0,80.0,5.0,25.0,0.3474478,0.20491624,0.2740723,2026-01-25-18:14:39
25.0,1.6,30.0,20.0,6.0,30.0,0.29538825,0.18607882,0.1619423,2026-01-25-18:14:39
12.0,5.0,35.0,260.0,4.5,60.0,0.37770116,0.41407636,0.43444172,2026-01-25-18:14:39
