organic_formula,organic_concentration,organic_temperature,organic_soak_time,organic_ph,organic_curing_time,Adhesion,Coverage,Uniformity,Timestamp
30.0,0.6,35.0,130.0,7.5,15.0,5.1629623e-08,8.347078e-09,-1.1964849,2026-01-25-11:17:47
10.0,3.4,30.0,210.0,6.0,40.0,-0.46774012,-0.8305203,-0.50534195,2026-01-25-11:17:47
4.0,1.8,35.0,70.0,5.5,55.0,-1.0845234,-0.65744466,-0.2079169,2026-01-25-11:17:47
21.0,4.5,25.0,280.0,5.0,35.0,-0.1088624,-0.6733526,-1.2865694,2026-01-25-11:17:47
18.0,2.5,30.0,230.0,2.5,20.0,-0.5599184,-0.5422508,-1.025351,2026-01-25-11:17:47
6.0,4.1,40.0,40.0,9.0,45.0,-0.40236902,-1.3557147,-0.39264104,2026-01-25-11:17:47
15.0,1.1,25.0,180.0,7.5,55.0,-0.9775036,-0.32455355,-0.9756442,2026-01-25-11:17:47
24.0,2.6,35.0,80.0,5.0,25.0,-0.25657862,-0.26493856,-1.0946063,2026-01-25-11:17:47
25.0,1.6,30.0,20.0,6.0,30.0,-0.29876173,-0.1558638,-1.2136742,2026-01-25-11:17:47
12.0,5.0,35.0,260.0,4.5,60.0,5.2125863e-08,-1.1925007,-0.8085356,2026-01-25-11:17:47
4.0,1.8,35.0,70.0,5.5,10.0,-1.1604725,-0.70348537,-0.22247729,2026-01-25-11:18:23
30.0,0.6,35.0,180.0,7.5,15.0,5.1629623e-08,8.347078e-09,-1.1964849,2026-01-25-11:18:23
20.0,2.9,35.0,130.0,7.0,15.0,-0.38419107,-0.48176047,-1.0241238,2026-01-25-11:18:23
7.0,1.8,35.0,190.0,7.0,15.0,-0.97435385,-0.5906591,-0.38391024,2026-01-25-11:18:23
6.0,4.7,30.0,130.0,7.0,15.0,-0.11058407,-1.1463224,-0.3197524,2026-01-25-11:18:23
3.0,0.6,25.0,10.0,6.0,10.0,-1.7224481,-0.27847207,-0.18975993,2026-01-25-11:19:02
10.0,0.6,25.0,130.0,6.0,15.0,-1.2407155,-0.20058927,-0.6663268,2026-01-25-11:19:02
3.0,0.6,25.0,130.0,6.0,15.0,-1.3960674,-0.22570536,-0.15380296,2026-01-25-11:19:02
9.0,5.0,25.0,290.0,6.0,40.0,5.8785382e-08,-1.3448528,-0.6221952,2026-01-25-11:19:02
10.0,0.6,25.0,130.0,4.5,15.0,-1.2640775,-0.20436625,-0.6788734,2026-01-25-11:19:02
25.0,0.6,35.0,180.0,4.0,20.0,-0.30929375,-0.050004214,-1.1284403,2026-01-25-11:19:31
6.0,0.6,35.0,60.0,7.5,15.0,-1.233102,-0.19935837,-0.34681466,2026-01-25-11:19:31
6.0,0.6,25.0,60.0,7.5,15.0,-1.4444797,-0.23353228,-0.40626544,2026-01-25-11:19:31
25.0,0.6,25.0,180.0,4.0,20.0,-0.36798242,-0.059492547,-1.3425624,2026-01-25-11:19:31
3.0,0.6,35.0,180.0,4.0,20.0,-1.1493388,-0.18581618,-0.1266212,2026-01-25-11:19:31
3.0,1.6,40.0,240.0,4.5,25.0,-1.2408354,-0.64734304,-0.15220967,2026-01-25-11:20:02
5.0,0.6,35.0,180.0,7.5,20.0,-1.0860463,-0.17558356,-0.24216096,2026-01-25-11:20:02
6.0,2.0,35.0,130.0,8.0,25.0,-0.8537452,-0.59553576,-0.28901392,2026-01-25-11:20:02
7.0,1.6,25.0,240.0,7.0,25.0,-1.1560236,-0.6030968,-0.43933004,2026-01-25-11:20:02
5.0,1.3,35.0,180.0,7.5,20.0,-1.0197458,-0.4128494,-0.24216096,2026-01-25-11:20:02
3.0,2.6,35.0,270.0,5.5,20.0,-0.8897564,-0.9187467,-0.13909629,2026-01-25-11:20:49
3.0,2.6,40.0,180.0,4.0,25.0,-0.9290666,-0.95933783,-0.1452417,2026-01-25-11:20:49
9.0,2.6,30.0,80.0,5.0,25.0,-0.7292934,-0.7530555,-0.48500156,2026-01-25-11:20:49
29.0,2.6,40.0,180.0,4.0,20.0,-0.05247835,-0.054188225,-1.3913065,2026-01-25-11:20:49
29.0,2.6,25.0,219.99998,6.0,25.0,-0.05067012,-0.052321076,-1.3433667,2026-01-25-11:20:49
4.0,0.6,30.0,180.0,4.0,20.0,-1.140886,-0.1844496,-0.18946742,2026-01-25-11:21:43
4.0,0.6,35.0,70.0,5.5,55.0,-1.2519803,-0.20241047,-0.2079169,2026-01-25-11:21:43
4.0,0.6,30.0,180.0,4.0,15.0,-1.2090783,-0.19547442,-0.20079213,2026-01-25-11:21:43
4.0,1.8,30.0,180.0,4.0,20.0,-0.9882884,-0.5991063,-0.18946742,2026-01-25-11:21:43
1.0,0.6,35.0,180.0,4.0,20.0,-1.156116,-0.18691188,-0.0,2026-01-25-11:21:43
22.0,0.6,35.0,180.0,4.0,20.0,-0.4854405,-0.078482255,-1.0628868,2026-01-25-11:22:29
22.0,0.6,25.0,130.0,6.0,15.0,-0.58965,-0.095330045,-1.2910566,2026-01-25-11:22:29
1.0,1.1,40.0,140.0,4.5,25.0,-1.2570843,-0.41738072,-0.0,2026-01-25-11:22:29
22.0,1.1,30.0,170.0,5.0,55.0,-0.482526,-0.16020966,-1.098948,2026-01-25-11:22:29
1.0,1.1,30.0,140.0,4.5,25.0,-1.046183,-0.34735668,-0.0,2026-01-25-11:22:29
13.0,0.6,35.0,180.0,4.0,20.0,-0.92037594,-0.14879924,-0.70873636,2026-01-25-11:23:12
13.0,1.1,30.0,170.0,5.0,55.0,-0.9148501,-0.30375117,-0.73278207,2026-01-25-11:23:12
13.0,0.6,35.0,180.0,5.0,20.0,-0.90032774,-0.14555801,-0.6932983,2026-01-25-11:23:12
13.0,1.1,30.0,170.0,4.0,55.0,-0.93412405,-0.31015053,-0.7482202,2026-01-25-11:23:12
13.0,0.6,25.0,130.0,4.0,20.0,-1.0950178,-0.17703399,-0.8432195,2026-01-25-11:23:12
2.0,0.6,35.0,180.0,4.0,20.0,-1.1544205,-0.18663776,-0.063403584,2026-01-25-11:23:51
28.0,0.6,35.0,180.0,7.5,20.0,-0.12023315,-0.019438362,-1.1198814,2026-01-25-11:23:51
1.0,4.2,30.0,290.0,5.0,35.0,-0.32084545,-1.2235239,-0.0,2026-01-25-11:23:51
28.0,4.9,25.0,80.0,8.0,30.0,-0.004615833,-0.14393896,-1.3241785,2026-01-25-11:23:51
2.0,4.3,40.0,160.0,4.5,10.0,-0.340443,-1.4915793,-0.08295083,2026-01-25-11:23:51
2.0,4.9,30.0,160.0,5.0,10.0,-0.041557316,-1.2959127,-0.07029847,2026-01-25-11:24:39
2.0,0.1,30.0,160.0,5.0,10.0,-1.2965789,-0.0,-0.07029847,2026-01-25-11:24:39
2.0,4.3,30.0,160.0,5.0,10.0,-0.28851572,-1.264071,-0.07029847,2026-01-25-11:24:39
20.0,4.9,25.0,80.0,8.0,30.0,-0.022010118,-0.686358,-1.1413224,2026-01-25-11:24:39
2.0,1.1,30.0,160.0,6.0,40.0,-0.98858124,-0.32823157,-0.056476474,2026-01-25-11:24:39
