organic_formula,organic_concentration,organic_temperature,organic_soak_time,organic_ph,organic_curing_time,Adhesion,Coverage,Uniformity,Timestamp
30.0,0.6,35.0,130.0,7.5,15.0,0.2473572,0.285063,0.28549027,2026-01-25-18:17:39
10.0,3.4,30.0,210.0,6.0,40.0,0.2927434,0.15720096,0.14473124,2026-01-25-18:17:39
4.0,1.8,35.0,70.0,5.5,55.0,0.2974804,0.21132684,0.32899702,2026-01-25-18:17:39
21.0,4.5,25.0,280.0,5.0,35.0,0.4633566,0.42072064,0.3311764,2026-01-25-18:17:39
18.0,2.5,30.0,230.0,2.5,20.0,0.17530867,0.2954795,0.12600793,2026-01-25-18:17:39
6.0,4.1,40.0,40.0,9.0,45.0,0.38115907,0.20165563,0.4655623,2026-01-25-18:17:39
15.0,1.1,25.0,180.0,7.5,55.0,0.36861777,0.26205277,0.08133977,2026-01-25-18:17:39
24.0,2.6,35.0,80.0,5.0,25.0,0.48537475,0.17383565,0.30146554,2026-01-25-18:17:39
25.0,1.6,30.0,20.0,6.0,30.0,0.33630916,0.13177808,0.12613735,2026-01-25-18:17:39
12.0,5.0,35.0,260.0,4.5,60.0,0.32440773,0.35205066,0.26131424,2026-01-25-18:17:39
21.0,4.5,40.0,280.0,5.0,35.0,0.5041366,0.42072064,0.5271607,2026-01-25-18:18:38
30.0,5.0,40.0,260.0,9.0,60.0,0.45077813,0.55350065,0.49201158,2026-01-25-18:18:38
20.0,2.5,40.0,230.0,9.0,20.0,0.6517008,0.26266348,0.38956985,2026-01-25-18:18:38
24.0,2.6,40.0,80.0,5.0,60.0,0.5717082,0.20598805,0.43080747,2026-01-25-18:18:38
18.0,2.5,40.0,230.0,4.0,20.0,0.43999702,0.2942467,0.32957652,2026-01-25-18:18:38
24.0,4.5,40.0,260.0,5.0,35.0,0.5411335,0.40407073,0.5520982,2026-01-25-18:19:32
20.0,4.5,40.0,280.0,9.0,35.0,0.5893043,0.4275186,0.5375116,2026-01-25-18:19:32
20.0,5.0,40.0,280.0,10.0,25.0,0.56549287,0.4264195,0.5915954,2026-01-25-18:19:32
20.0,4.1,40.0,280.0,8.0,30.0,0.6064844,0.37847254,0.5068841,2026-01-25-18:19:32
20.0,1.6,40.0,280.0,7.0,10.0,0.5543687,0.32838732,0.31838512,2026-01-25-18:19:32
8.0,5.0,40.0,260.0,5.0,25.0,0.35196453,0.26849595,0.43275517,2026-01-25-18:20:23
30.0,5.0,40.0,260.0,8.0,25.0,0.44384784,0.36188072,0.5351135,2026-01-25-18:20:23
20.0,4.5,40.0,260.0,9.0,25.0,0.5858561,0.36159277,0.5590964,2026-01-25-18:20:23
20.0,5.0,40.0,260.0,10.0,35.0,0.5620446,0.44791797,0.5834966,2026-01-25-18:20:23
20.0,4.1,40.0,230.0,9.0,30.0,0.6082295,0.31969878,0.52513283,2026-01-25-18:20:23
20.0,4.5,40.0,260.0,10.0,60.0,0.58478516,0.5807526,0.51274645,2026-01-25-18:21:16
20.0,2.5,40.0,260.0,10.0,60.0,0.6558023,0.5299837,0.32501218,2026-01-25-18:21:16
20.0,4.3,40.0,260.0,10.0,20.0,0.5980702,0.35379434,0.5457486,2026-01-25-18:21:16
